City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
112,bredasdorp,-34.5322,20.0403,16.82,77,100,2.2,ZA,1696007534
113,zheleznodorozhnyy,55.7503,38.0042,18.94,59,64,2.3,RU,1696007534
114,yigo village,13.5361,144.8886,25.62,93,0,0.0,GU,1696007534
115,nova sintra,14.8667,-24.7167,24.56,77,98,3.4,CV,1696007534
116,luderitz,-26.6481,15.1594,16.46,67,58,2.43,NA,1696007534
117,enewetak,11.3474,162.3373,28.65,79,94,6.28,MH,1696007534
118,tuam,53.5167,-8.85,13.96,81,15,3.47,IE,1696007534
119,kassiri,8.9372,-13.1244,28.38,76,99,3.8,SL,1696007534
120,'alaqahdari dishu,30.4374,63.313,23.22,15,0,7.89,AF,1696007534
121,okhotsk,59.3833,143.3,6.7,92,100,0.83,RU,1696007534
122,sajir,25.1825,44.5996,31.97,13,3,4.87,SA,1696007534
123,la'ie,21.6477,-157.9253,26.98,83,34,1.34,US,1696007535
124,klyuchi,52.2667,79.1667,13.15,57,100,1.86,RU,1696007535
125,opuwo,-18.0607,13.84,28.82,18,2,4.9,NA,1696007535
126,new martinsville,39.6445,-80.8576,22.84,83,82,0.89,US,1696007535
127,christchurch,-43.5333,172.6333,7.17,81,75,5.66,NZ,1696007336
128,ust-nera,64.5667,143.2,-5.4,93,67,0.61,RU,1696007535
129,sagae,38.3725,140.2725,14.7,88,85,0.45,JP,1696007535
130,pauini,-7.7136,-66.9764,41.34,26,15,1.3,BR,1696007535
131,isafjordur,66.0755,-23.124,6.02,61,75,6.17,IS,1696007535
132,puri,19.8,85.85,28.29,80,95,4.78,IN,1696007535
133,tongliao,43.6125,122.2653,10.21,57,0,5.48,CN,1696007535
134,papao,-17.75,-149.55,25.82,80,50,10.55,PF,1696007535
135,oxelosund,58.6706,17.1015,15.21,88,40,2.57,SE,1696007536
136,boca do acre,-8.7522,-67.3978,41.64,26,45,1.12,BR,1696007536
137,shimoda,34.6667,138.95,24.09,85,25,3.89,JP,1696007376
138,petropavlovsk-kamchatsky,53.0452,158.6483,4.61,74,82,1.0,RU,1696007536
139,gebeit,21.0667,36.3167,33.58,25,6,3.39,SD,1696007536
140,ugoofaaru,5.6667,73.0,27.41,82,99,6.22,MV,1696007536
141,touros,-5.1989,-35.4608,29.07,57,25,6.58,BR,1696007537
142,trairi,-3.2778,-39.2689,30.56,52,75,6.56,BR,1696007357
143,wamba,8.9333,8.6,22.34,92,100,0.91,NG,1696007538
144,la passe,45.5549,-0.8967,23.13,73,91,2.97,FR,1696007538
145,ushuaia,-54.8,-68.3,8.02,75,100,3.84,AR,1696007538
146,nagod,24.5667,80.6,29.12,59,98,0.5,IN,1696007538
147,dongola,19.1667,30.4833,39.63,12,32,3.97,SD,1696007538
148,horta,38.5333,-28.6333,22.23,93,75,8.94,PT,1696007539
149,coquimbo,-29.9533,-71.3436,16.94,68,2,3.81,CL,1696007539
150,tazovsky,67.4667,78.7,-1.41,80,87,10.06,RU,1696007539
151,nazyvayevsk,55.5698,71.3529,10.21,72,92,2.68,RU,1696007539
152,mar del plata,-38.0023,-57.5575,12.27,82,95,1.79,AR,1696007539
153,sao benedito do rio preto,-3.3336,-43.5283,40.84,19,43,1.71,BR,1696007539
154,yuzhno-kurilsk,44.0306,145.8556,13.86,84,0,1.86,RU,1696007539
155,malvan,16.0667,73.4667,25.94,90,100,10.0,IN,1696007540
156,coos bay,43.3665,-124.2179,15.18,100,100,2.57,US,1696007271
157,tsiombe,-25.3,45.4833,23.04,67,0,2.22,MG,1696007540
158,lihue,21.9789,-159.3672,25.2,82,20,4.63,US,1696007540
159,guarapuava,-25.3953,-51.4581,15.72,88,95,1.43,BR,1696007396
160,hermanus,-34.4187,19.2345,16.76,81,100,6.46,ZA,1696007540
161,vanimo,-2.6741,141.3028,25.58,86,98,2.71,PG,1696007540
162,raduzhny,62.0961,77.475,-0.53,79,54,3.55,RU,1696007540
163,antsiranana,-12.2787,49.2917,23.5,80,15,7.64,MG,1696007241
164,karema,-6.8205,30.4389,26.36,61,28,2.52,TZ,1696007540
165,vryburg,-26.9566,24.7284,23.52,20,27,3.71,ZA,1696007541
166,crescent city,41.756,-124.2018,14.71,99,100,4.12,US,1696007541
167,charters towers,-20.1,146.2667,15.29,93,2,3.44,AU,1696007541
168,nouadhibou,20.931,-17.0347,28.99,51,28,4.63,MR,1696007541
169,nioki,-2.7167,17.6833,26.76,66,91,0.15,CD,1696007541
170,black point,-34.6187,137.8972,16.76,45,0,5.5,AU,1696007541
171,labrador city,52.9463,-66.9114,15.89,37,98,2.45,CA,1696007410
172,sumenep,-7.0167,113.8667,26.6,75,18,6.76,ID,1696007541
173,khost,33.3395,69.9204,18.36,58,37,2.48,AF,1696007541
174,nasirabad,26.3,74.7333,27.58,32,0,1.73,IN,1696007541
175,brokopondo,4.75,-55.1667,33.68,43,25,1.25,SR,1696007541
176,namibe,-15.1961,12.1522,19.34,88,62,4.8,AO,1696007541
177,kajiado,-1.8524,36.7768,18.36,76,19,9.47,KE,1696007541
178,gejiu,23.306,103.1635,12.89,96,72,0.97,CN,1696007542
179,zeya,53.75,127.2667,6.43,76,98,2.8,RU,1696007542
180,thunder bay,48.4001,-89.3168,17.99,77,100,4.63,CA,1696007542
181,magistral'nyy,56.1725,107.4458,7.05,73,76,1.74,RU,1696007542
182,nikolayevsk-on-amure,53.1406,140.73,9.76,95,100,0.97,RU,1696007542
183,gulf shores,30.246,-87.7008,29.65,63,0,5.14,US,1696007542
184,i-n-salah,27.1935,2.4607,35.13,17,0,8.33,DZ,1696007542
185,olonkinbyen,70.9221,-8.7187,2.82,81,100,7.23,SJ,1696007542
186,visakhapatnam,17.69,83.2093,26.94,89,75,1.54,IN,1696007493
187,tura,25.5198,90.2201,24.84,91,100,1.71,IN,1696007542
